"EPA Registration Number","Active Ingredient(s)","Product Name","Company","Contact Time (in minutes)","Formulation Type","Surface Types","Use Sites","Why is this product on List N?","To kill SARS-CoV-2 (COVID-19), follow disinfection directions for the following pathogen(s)","Date Added to List N"
"777-139","Citric acid","T-bone","Reckitt Benckiser LLC","5","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","04/30/2020"
"95337-1","Citric acid","Arm & Hammer Essentials™ Disinfecting Wipes","CR Brands Inc","5","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","04/30/2020"
"91452-1","Citric acid","LEXX™ Liquid Sanitizer and Cleaner Concentrate","ProNatural Brands LLC","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","04/23/2020"
"34810-36","Citric acid","CleanCide Wipes","Wexford Labs Inc","5","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus; Feline calicivirus","04/23/2020"
"34810-35","Citric acid","Cleancide","Wexford Labs Inc","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","04/09/2020"
"3573-54","Citric acid","Comet Disinfecting Bathroom Cleaner","The Proctor & Gamble Company","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus; Norovirus","04/09/2020"
"675-55","Citric acid","Lysol® Bathroom Cleaner","Reckitt Benckiser LLC","5","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Poliovirus","03/19/2020"
"66251-2","Citric acid; Thymol","SBT 2 to 1 Concentrate","Melaleuca Inc","10","Dilutable","Hard Nonporous (HN)","Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus; Poliovirus","04/09/2020"
"1677-259","Dodecylbenzenesulfonic acid; L-Lactic acid","CW32A-RTU","Ecolab Inc","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN); Food Contact No Rinse (FCNR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","04/09/2020"
"1677-260","Dodecylbenzenesulfonic acid; L-Lactic acid","S&S Sanitizer","Ecolab Inc","0.5 (30 seconds)","Dilutable","Hard Nonporous (HN); Food Contact No Rinse (FCNR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","04/09/2020"
"84150-4","Ethanol (Ethyl alcohol)","Charleston","GOJO Industries Inc","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN); Food Contact No Rinse (FCNR)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Hepatitis A virus","08/13/2020"
"777-136","Ethanol (Ethyl alcohol)","Lysol® Neutra Air® 2 in 1","Reckitt Benckiser LLC","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"84150-2","Ethanol (Ethyl alcohol)","Mitersaw","GOJO Industries Inc","5","Wipe","Hard Nonporous (HN)","Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","03/13/2020"
"67619-29","Ethanol (Ethyl alcohol)","Saginaw","Clorox Professional Products Company","5","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Coxsackievirus; Hepatitis A virus; Rhinovirus; Rotavirus","03/03/2020"
"84150-1","Ethanol (Ethyl alcohol)","PURELL Professional Surface Disinfectant Wipes","GOJO Industries Inc","5","Wipe","Hard Nonporous (HN); Food Contact No Rinse (FCNR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/03/2020"
"84368-1","Ethanol (Ethyl alcohol)","Urthpro","Urthtech LLC","1","Ready-to-use","Hard Nonporous (HN); Food Contact No Rinse (FCNR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Hepatitis A virus","03/03/2020"
"498-134","Ethanol (Ethyl alcohol); Phenolic","Spraypak Spray Disinfectant Formula 2","Chase Products Co","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","07/23/2020"
"498-194","Ethanol (Ethyl alcohol); Phenolic","Spraypak Spray Disinfectant/Lubricant","Chase Products Co","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","07/23/2020"
"5741-22","Ethanol (Ethyl alcohol); Phenolic","Steripene II Brand Disinfectant Deodorant","Spartan Chemical Company Inc","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","07/23/2020"
"10807-177","Ethanol (Ethyl alcohol); Phenolic","Misty II Disinfectant & Deodorant","Amrep Inc","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","07/23/2020"
"88494-2","Ethanol (Ethyl alcohol); Quaternary ammonium","Wedge Disinfectant Wipes","North American Infection Control Ltd","1","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Poliovirus","03/26/2020"
"71654-5","Glycolic acid","Glyclean Hard Surface Cleaner","The Chemours Company FC LLC","10","Ready-to-use","Hard Nonporous (HN)","Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","05/07/2020"
"5813-93","Glycolic acid","Show","The Clorox Company","10","Impregnated materials","Hard Nonporous (HN)","Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","05/07/2020"
"5813-86","Glycolic acid","CBW","The Clorox Company","10","Impregnated materials","Hard Nonporous (HN)","Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"675-1","Hydrochloric acid","Vani-Sol Bowl Cleanse","Reckitt Benckiser LLC","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","07/23/2020"
"4822-614","Hydrochloric acid","Scrubbing Bubbles® Power Stain Destroyer Non-Bleach Toilet Bowl Disinfectant","S.C. Johnson & Son Inc","10","Ready-to-use","Hard Nonporous (HN)","Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","04/23/2020"
"777-104","Hydrochloric acid","Vanity GP","Reckitt Benckiser LLC","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Poliovirus","03/26/2020"
"777-132","Hydrochloric acid","Lysol® Brand Power Plus Toilet Bowl Cleaner","Reckitt Benckiser LLC","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Poliovirus Type 1","03/03/2020"
"777-81","Hydrochloric acid","Lysol® Brand Lime & Rust Toilet Bowl Cleaner","Reckitt Benckiser LLC","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Poliovirus Type 1; Hepatitis A virus","03/03/2020"
"5185-505","Hydrogen chloride","The Works® Basic Disinfectant Toilet Bowl Cleaner","Bio-Lab Inc","10","Dilutable","Hard Nonporous (HN)","Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus; Poliovirus","04/23/2020"
"6836-442","Hydrogen peroxide","DS6835","Lonza LLC","1","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","08/06/2020"
"9480-16","Hydrogen peroxide","Sani-HyPerCide Germicidal Disposable Wipe","Professional Disposables International Inc","1","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus; Rotavirus; Rhinovirus; Feline calicivirus","07/23/2020"
"93324-1","Hydrogen peroxide","CURoxide™","Curis System LLC","30","Fog; Mist; Refer to the CURIS® User Manual","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Clostridioides difficile","07/23/2020"
"1043-124","Hydrogen peroxide","HASTe-SSD-Component B","Steris Corporation","1","Dilutable","Hard Nonporous (HN)","Healthcare","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","07/23/2020"
"91861-2","Hydrogen peroxide","Bona STL Disinfecting Cleaner","Bonakemi USA Inc","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","05/21/2020"
"70627-62","Hydrogen peroxide","Phato 1:64 Disinfectant Cleaner","Diversey Inc","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","05/21/2020"
"10772-21","Hydrogen peroxide","Hydra","Church & Dwight Company Inc","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus; Rhinovirus","05/14/2020"
"93672-2","Hydrogen peroxide","NeoSan Labs Part B","Neosan Labs Inc","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","04/30/2020"
"74436-2","Hydrogen peroxide","EasyDECON Part 2","EFT Holdings Inc","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Hepatitis A virus; Rhinovirus; Feline calicivirus","04/23/2020"
"70627-79","Hydrogen peroxide","Oxivir™ HC Disinfectant Cleaner","Diversey Inc","1","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus; Rhinovirus; Adenovirus; Rotavirus; Poliovirus","04/23/2020"
"70627-80","Hydrogen peroxide","Oxivir™ HC Wipes","Diversey Inc","1","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus; Rhinovirus; Adenovirus; Rotavirus; Poliovirus","04/23/2020"
"6836-385","Hydrogen peroxide","DS-6640","Lonza LLC","3","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","04/23/2020"
"6836-388","Hydrogen peroxide","DS6809","Lonza LLC","3","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","04/23/2020"
"72372-1","Hydrogen peroxide","B-Cap™ 35 Antimicrobial Agent","PeroxyChem LLC","Consult user manual","Vapor (use in conjunction with VHP generator)","Hard Nonporous (HN); Porous (P)","Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Use this product for sterilization as instructed in the Bioquell Hydrogen Peroxide Vapor (HPV) User’s Equipment Manual","04/16/2020"
"777-126","Hydrogen peroxide","Angel","Reckitt Benckiser LLC","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus; Rhinovirus","04/16/2020"
"89833-4","Hydrogen peroxide","D7 Part 2","Decon7 Systems LLC","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","04/16/2020"
"91899-2","Hydrogen peroxide","MDF-200 Part B","Span-World LLC","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","04/09/2020"
"58779-4","Hydrogen peroxide","Vaprox Hydrogen Peroxide Sterilant","Steris Corporation","Consult user manual","Vapor (use in conjunction with VHP generator)","Hard Nonporous (HN); Porous (P); Food Contact No Rinse (FCNR)","Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Use this product for sterilization as instructed in the Vaporized Hydrogen Peroxide (VHP®) User’s Equipment Manual","04/09/2020"
"85837-4","Hydrogen peroxide","Proxi Home General Disinfectant Cleaner Spray","Innovasource LLC","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","04/02/2020"
"45745-11","Hydrogen peroxide","HP2O2","Midlab","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus; Norovirus; Rhinovirus","03/26/2020"
"84198-1","Hydrogen peroxide","Peroxy HDOX","Earth Laboratories Inc","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/26/2020"
"90150-2","Hydrogen peroxide","Binary Ionization Technology (BIT) Solution","Tomi Environmental Solutions Inc","15","Fog; Mist","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","03/19/2020"
"70627-78","Hydrogen peroxide","Suretouch","Diversey Inc","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"74559-6","Hydrogen peroxide","Oxy-res (Concentrate)","Virox Technologies Inc","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"74559-8","Hydrogen peroxide","Accel 5 RTU","Virox Technologies Inc","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"89900-1","Hydrogen peroxide","Nathan 2","S.C. Johnson Professional","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"74559-10","Hydrogen peroxide","Oxy-1 Wipes","Virox Technologies Inc","0.5 (30 seconds)","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Poliovirus","03/13/2020"
"74559-1","Hydrogen peroxide","Accel TB","Virox Technologies Inc","1","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Poliovirus; Feline calicivirus","03/13/2020"
"74559-9","Hydrogen peroxide","Oxy-1 RTU","Virox Technologies Inc","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Poliovirus","03/13/2020"
"74559-3","Hydrogen peroxide","Accel TB Wipes","Virox Technologies Inc","1","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Poliovirus","03/13/2020"
"74559-4","Hydrogen peroxide","Accel (Concentrate) Disinfectant Cleaner","Virox Technologies Inc","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Poliovirus","03/13/2020"
"1677-238","Hydrogen peroxide","Peroxide Multi Surface Cleaner and Disinfectant","Ecolab Inc","2","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/03/2020"
"5813-110","Hydrogen peroxide","Clorox Pet Solutions Advanced Formula Disinfecting Stain & Odor Remover","The Clorox Company","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Enterovirus D68; Norovirus; Rhinovirus","03/03/2020"
"67619-24","Hydrogen peroxide","Clorox Commercial Solutions® Hydrogen Peroxide Cleaner Disinfectant","Clorox Professional Products Company","1","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus; Rhinovirus; Rotavirus","03/03/2020"
"67619-25","Hydrogen peroxide","Clorox Commercial Solutions® Hydrogen Peroxide Cleaner Disinfectant Wipes","Clorox Professional Products Company","2","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/03/2020"
"67619-33","Hydrogen peroxide","Clorox Commercial Solutions® Clorox® Disinfecting Biostain & Odor Remover","Clorox Professional Products Company","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Enterovirus; Norovirus; Rhinovirus Type 37","03/03/2020"
"70627-56","Hydrogen peroxide","Oxivir™ Tb","Diversey Inc","1","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus; Rhinovirus; Poliovirus Type 1","03/03/2020"
"70627-58","Hydrogen peroxide","Oxy-Team™ Disinfectant Cleaner","Diversey Inc","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Canine parvovirus; Feline picornavirus","03/03/2020"
"70627-60","Hydrogen peroxide","Oxivir™ Wipes","Diversey Inc","1","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus; Poliovirus Type 1; Rhinovirus Type 14","03/03/2020"
"70627-74","Hydrogen peroxide","Oxivir™ 1","Diversey Inc","1","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Canine parvovirus; Enterovirus D68","03/03/2020"
"70627-77","Hydrogen peroxide","Oxivir™ 1 Wipes","Diversey Inc","1","Wipe","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Enterovirus D68","03/03/2020"
"1677-251","Hydrogen peroxide","Peroxide Disinfectant And Glass Cleaner RTU","Ecolab Inc","0.75 (45 seconds)","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/03/2020"
"9480-14","Hydrogen peroxide","Sani-HyPerCide Germicidal Spray","Professional Disposables International Inc","1","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/03/2020"
"9402-14","Hydrogen peroxide; Ammonium carbonate; Ammonium bicarbonate","Hitman Spray","Kimberly-Clark Global Sales LLC","5","Ready-to-use","Hard Nonporous (HN)","Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"9402-15","Hydrogen peroxide; Ammonium carbonate; Ammonium bicarbonate","Victor Spray","Kimberly-Clark Global Sales LLC","5","Pressurized liquid","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"9402-17","Hydrogen peroxide; Ammonium carbonate; Ammonium bicarbonate","Hitman Wipe","Kimberly-Clark Global Sales LLC","6","Wipe","Hard Nonporous (HN)","Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"1677-226","Hydrogen peroxide; Octanoic acid; Peroxyacetic acid (Peracetic acid)","Virasept","Ecolab Inc","4","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus; Rhinovirus","03/03/2020"
"52252-7","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid)","Minncare Cold Sterilant","Medivators Inc","10","Ready-to-use","Hard Nonporous (HN)","Healthcare","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Tuberculocidal","07/23/2020"
"84545-5","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid)","Peradox HC Activator Solution Part B","Sbiomed LLC","15","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","07/23/2020"
"10324-214","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid)","Maguard 5626","Mason Chemical Company","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Canine parvovirus","07/23/2020"
"70299-19","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid)","Sanidate 5.0","BioSafe Systems LLC","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","07/09/2020"
"1043-119","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid)","SPOR-KLENZ Ready To Use","Steris Corporation","10","Ready-to-use","Hard Nonporous (HN)","Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Murine norovirus","05/14/2020"
